,kanwil,cabang,jalan,des_kec,kab_prov,telepon
978,UPC RATAHAN,CP LANGOWAN,JL. TOSURAYA - TOMBATU RATAHAN,"Tosuraya, Ratahan","Minahasa Tenggara, Sulawesi Utara",082195832904
979,UPC SONDER,CP LANGOWAN,DESA TOUNELET JAGA 2,"Tounelet, Sonder","Minahasa, Sulawesi Utara",082195832905
980,UPC KAO,CP BASTIONG,JALAN TRANS HALMAHERA,"Kao, Kao","Halmahera Utara, Maluku Utara",081356803127
981,UPC TOBELO,CP BASTIONG,JL KEMAKMURAN NO.354,"Gosoma, Tobelo","Halmahera Utara, Maluku Utara",082346307798
982,UPC WEDA,CP BASTIONG,JL KATAK,"Weda, Weda","Halmahera Tengah, Maluku Utara",082330258684
983,UPC MOROTAI,CP BASTIONG,JL KADONDONG,"Yayasan, Morotai Selatan","Pulau Morotai, Maluku Utara",085240324714
984,UPC KAMPIS,CP BASTIONG,JL. SERUNI /SAMPING KANTOR LURAH,"Kampung Pisang, Ternate Tengah (Kota)","Ternate, Maluku Utara",085240247542
985,UPC JATI,CP BASTIONG,JL. RAYA JATI -RUKO LAMPU MERAH,"Bastiong Talangame, Ternate Selatan (Kota)","Ternate, Maluku Utara",085240247135
986,UPC KALUMATA,CP BASTIONG,JL. RAYA KAYU MERAH DEPAN PLN PUSAT LISTRIK KAYU MERAH,"Kayu Merah, Ternate Selatan (Kota)","Ternate, Maluku Utara",085240247543
987,UPC TOBOKO,CP BASTIONG,JL. TERATAI TOBOKO,"Toboko, Ternate Selatan (Kota)","Ternate, Maluku Utara",085240247136
988,UPC KAUDITAN,CP AIRMADIDI,DESA KAUDITAN 1 JAGA IV,"Kauditan Satu, Kauditan","Minahasa Utara, Sulawesi Utara",081241227904
989,UPC KEMA,CP AIRMADIDI,DESA KEMA 2 JAGA V,"Kema Tiga, Kema","Minahasa Utara, Sulawesi Utara",081241228903
990,UPC TATELU,CP AIRMADIDI,JALAN RAYA TATELU JAGA 1,"Wasian, Dimembe","Minahasa Utara, Sulawesi Utara",081241227914
991,UPC KALAWAT,CP AIRMADIDI,DESA KOLONGAN TETEMPANGAN JAGA VI,"Kolongan, Kalawat","Minahasa Utara, Sulawesi Utara",081241227980
992,UPC SARONSONG,CP AIRMADIDI,JALAN RAYA AIRMADIDI -TONDANO,"Sarongsong Satu, Airmadidi","Minahasa Utara, Sulawesi Utara",081241228381
993,UPC LEMBEAN,CP AIRMADIDI,DESA LEMBEAN JAGA IV,"Lembean, Kauditan","Minahasa Utara, Sulawesi Utara",081241229507
994,UPC LIKUPANG,CP AIRMADIDI,JALAN RAYA LIKUPANG - KOMPLEK PASAR LIKUPANG,"Likupang Satu, Likupang Timur","Minahasa Utara, Sulawesi Utara",081241227908
995,UPC SARAPUNG,CP MEGA MAS,JL.SARAPUNG NO.5,"Lawang Irung, Wenang","Manado, Sulawesi Utara",085397390124
996,UPC BOULEVARD,CP MEGA MAS,JL.PIERRE TENDEAN LINGKUNGAN V,"Titiwungen Utara, Sario","Manado, Sulawesi Utara",082348822022
997,UPC IT CENTRE,CP MEGA MAS,JL.PIERRE TENDEAN KOMPLEKS IT CENTER BLOK A11,"Wenang Utara, Wenang","Manado, Sulawesi Utara",085397100227
998,CP SENTANI,Wilayah 5 Manado,JL. RAYA KEMIRI NO.635,"Sentani Kota, Sentani","Jayapura, Papua",081369866301
999,CP BHAYANGKARA,Wilayah 5 Manado,JL FRANS KAISEPO RUKO PASIFIK PERMAI,"Bhayangkara (Bayangkara), Jayapura Utara","Jayapura, Papua",08114302135
1000,CP JAYAPURA,Wilayah 5 Manado,JLN KELAPA DUA ENTROP,"Entrop, Jayapura Selatan","Jayapura, Papua",08114301874
1001,CP BIAK,Wilayah 5 Manado,JL.ERLANGGA NO.09,"Waupnor, Biak Kota","Biak Numfor, Papua",08114301904
1002,CP MERAUKE,Wilayah 5 Manado,JL BRAWIJAYA,"Kelapa Lima, Merauke","Merauke, Papua",082198259470
1003,CP ABEPURA,Wilayah 5 Manado,"JL. GERILYAWAN NO.1F DISTRIK ABEPURA, PROPINSI PAP","Kota Baru, Abepura","Jayapura, Papua",081344462002
1004,UPC NUMBAI,CP JAYAPURA,JL RAYA ARGAPURA,"Argapura, Jayapura Selatan","Jayapura, Papua",081369861983
1005,UPC HAMADI,CP JAYAPURA,JLN PERIKANAN HAMADI,"Hamadi, Jayapura Selatan","Jayapura, Papua",081369861981
1006,UPC ENTROP,CP JAYAPURA,JLN RAYA ABEPURA,"Entrop, Jayapura Selatan","Jayapura, Papua",081369861982
1007,UPC SERUI PELABUHAN,CP BIAK,JL DIPONEGORO SERUI PELABUHAN,"Turu, Yapen Selatan","Kepulauan Yapen (Yapen Waropen), Papua",098334292
1008,UPC SAMOFA,CP BIAK,JL.RAYA SORIDO,"Yafdas, Samofa","Biak Numfor, Papua",098122830
1009,UPC DOLOG,CP BIAK,JL.RAYA DOLOG,"Mandala, Biak Kota","Biak Numfor, Papua",098122830
1010,UPC SUMBERKER,CP BIAK,JL. ADIBAI,"Sumberker, Samofa","Biak Numfor, Papua",098122830
1011,UPC KUPRIK,CP MERAUKE,JL KUPRIK,"Yabamaru, Tanah Miring","Merauke, Papua",082198259471
1012,UPC PSR BARU MERAUKE,CP MERAUKE,JL RAYA MANDALA MULI,"Rimba Jaya, Merauke","Merauke, Papua",082198259472
1013,UPC MANDALA MULI,CP MERAUKE,JL RAYA MANDALA,"Mandala, Merauke","Merauke, Papua",082198259473
1014,UPC SERINGGU,CP MERAUKE,JL IRIAN SERINGGU,"Bambu Pemali, Merauke","Merauke, Papua",082198259475
1015,UPC WAENA,CP ABEPURA,JL. RAYA SENTANI NO. 33 WAENA,"Waena, Heram","Jayapura, Papua",081344462221
1016,UPC PADANG BULAN,CP ABEPURA,JL. RAYA SENTANI PADANG BULAN,"Kota Baru, Abepura","Jayapura, Papua",081344461966
1017,UPC PASAR CIGOMBONG,CP ABEPURA,JL. PERKUTUT NO. 106 CIGOMBONG KOTARAJA DALAM,"Vim, Abepura","Jayapura, Papua",08114302059
1018,UPC KOTA BARU,CP ABEPURA,JL. RAYA ABEPURA NO. 4,"Wambena, Depapre","Jayapura, Papua",081344462001
1019,UPC KOYA,CP ABEPURA,KOYA BARAT,"Koya Barat, Muara Tami","Jayapura, Papua",081344461986
1020,UPC PASAR YOUTEFA,CP ABEPURA,KOMPLEKS PASAR YOUTEFA,"Wai/Way Mhorock, Abepura","Jayapura, Papua",081344461993
1021,UPC PSR LM ABEPURA,CP ABEPURA,JL. BARU KOTARAJA NO. 26,"Wai/Way Mhorock, Abepura","Jayapura, Papua",081344462220
1022,UPC PASAR ARSO 2,CP ABEPURA,JL. GARUDA JALUR 1,"Wembi Dalam, Arso Timur","Keerom, Papua",081344461980
1023,UPC PASAR BARU SENTANI,CP SENTANI,JL. PASAR BARU,"Hinekombe, Sentani","Jayapura, Papua",081369866302
1024,UPC YAHIM,CP SENTANI,JL. YAHIM NO 40 PASAR LAMA,"Hinekombe, Sentani","Jayapura, Papua",081369866303
1025,UPC FLAVOUW,CP SENTANI,JL. RAYA SENTANI NO.45,"Sentani Kota, Sentani","Jayapura, Papua",081369866304
1026,UPC SARMI,CP SENTANI,JL. SYAMOR NO. 04 KEL. MARARENA,"Mararena, Sarmi","Sarmi, Papua",082190951793
1027,UPC WAMENA,CP SENTANI,JLN.AHMAD YANI,"Wamena Kota, Wamena","Jayawijaya, Papua",082239876365
1028,UPC MANDALA,CP BHAYANGKARA,JL SOA SIU NO 2 DOK V BAWAH,"Mandala, Jayapura Utara","Jayapura, Papua",08114301881
1029,UPC DOK VIII,CP BHAYANGKARA,JL SULAWESI DOK 8,"Imbi, Jayapura Utara","Jayapura, Papua",08114301883
1030,CP GORONTALO SELATAN,Wilayah 5 Manado,JL. GUNUNG LOKON SK 6/9,"Biawu, Kota Selatan","Gorontalo, Gorontalo",082195655214
1031,CP LIMBOTO,Wilayah 5 Manado,JL. DELIANA HIPPY NO. 290,"Kayubulan, Limboto","Gorontalo, Gorontalo",081265440049
1032,CP KOTAMOBAGU,Wilayah 5 Manado,JL. SOEPRAPTO NO.15,"Gogagoman, Kotamobagu Barat","Kotamobagu, Sulawesi Utara",085256042651
1033,CP GORONTALO UTARA,Wilayah 5 Manado,JL. HB JASSIN NO.264,"Dulalowo Timur, Kota Tengah","Gorontalo, Gorontalo",082195655419
1034,CP LUWUK,Wilayah 5 Manado,"JL IR.SOEKARNO NO.10, LUWUK","Luwuk, Luwuk","Banggai, Sulawesi Tengah",046122217
1035,CP GORONTALO SENTRAL,Wilayah 5 Manado,JL.SAM RATULANGI NO.78,"Limba U Satu, Kota Selatan","Gorontalo, Gorontalo",085398242649
1036,CP MOLINOW,Wilayah 5 Manado,JL. ADAMPE DOLOT NO.150,"Mogolaing, Kotamobagu Barat","Kotamobagu, Sulawesi Utara",085256042642
1037,UPC BUGIS,CP GORONTALO SELATAN,JL. JALALUDIN TANTU NO.188,"Ipilo, Kota Timur","Gorontalo, Gorontalo",082195655215
1038,UPC WUMIALO,CP GORONTALO SELATAN,JL. ARIEF RAHMAN HAKIM,"Dulalowo Timur, Kota Tengah","Gorontalo, Gorontalo",082195655216
1039,UPC PADEBUOLO,CP GORONTALO SELATAN,JL. SULTAN BOTUTIHE NO.179,"Tamalate, Kota Timur","Gorontalo, Gorontalo",082195655217
1040,UPC ISIMU,CP LIMBOTO,JL. TRANS SULAWESI,"Isimu Selatan, Tibawa","Gorontalo, Gorontalo",081342067154
1041,UPC BATUDAA,CP LIMBOTO,JL. USMAN ISA NO. 98,"Limehe Barat, Tabongo","Gorontalo, Gorontalo",082193063352
1042,UPC KWANDANG,CP LIMBOTO,JL. TRANS SULAWESI,"Moluo, Kwandang","Gorontalo Utara, Gorontalo",081342073756
1043,UPC HUTUO,CP LIMBOTO,"JL. LIMBOTO RAYA NO. 64, HUTUO","Hutuo, Limboto","Gorontalo, Gorontalo",082162889959
1044,UPC MARISA,CP LIMBOTO,JL. SULTAN AMAY NO. 230,"Marisa Utara, Marisa","Pohuwato, Gorontalo",081241606562
1045,UPC TILAMUTA,CP LIMBOTO,JLN. TRANS SULAWESI,"Hungayonaa, Tilamuta","Boalemo, Gorontalo",081342073263
1046,UPC PAGUYAMAN,CP LIMBOTO,JL. TRANS SULAWESI DUSUN SOSIAL,"Molombulahe, Paguyaman","Boalemo, Gorontalo",081272776449
1047,UPC BOROKO,CP LIMBOTO,"JLN TRANS SULAWESI DESA KUALA INDUK, BOROKO","Kuala, Kaidipang","Bolaang Mongondow Utara, Sulawesi Utara",082193867199
1048,UPC MOGOLAING,CP KOTAMOBAGU,JL. ADAMPE DOLOT,"Mongkonai, Kotamobagu Barat","Kotamobagu, Sulawesi Utara",085256042655
1049,UPC MATALI,CP KOTAMOBAGU,JL. D.C. MANOPPO,"Matali, Kotamobagu Timur","Kotamobagu, Sulawesi Utara",085256042656
1050,UPC TUTUYAN,CP KOTAMOBAGU,JL. TRANS,"Tutuyan III, Tutuyan","Bolaang Mongondow Timur, Sulawesi Utara",085256042652
1051,UPC PARIS MALL,CP KOTAMOBAGU,JL ADAMPE DOLOT,"Mongkonai, Kotamobagu Barat","Kotamobagu, Sulawesi Utara",085256042653
1052,UPC KOTOBANGON,CP KOTAMOBAGU,JL. JHONI SUHODO NO. 63,"Kotobangon (Kotabangon), Kotamobagu Timur","Kotamobagu, Sulawesi Utara",085256042654
1053,UPC TELAGA,CP GORONTALO UTARA,JL.LIMBOTO RAYA,"Ilotideaa, Tilango","Gorontalo, Gorontalo",082195655480
1054,UPC ANDALAS,CP GORONTALO UTARA,JL. RAYA ANDALAS,"Paguyaman, Kota Tengah","Gorontalo, Gorontalo",082195655481
1055,UPC TULADENGGI,CP GORONTALO UTARA,JL. LIMBOTO RAYA,"Tuladenggi, Telaga Biru","Gorontalo, Gorontalo",082195655482
1056,UPC TAPA,CP GORONTALO UTARA,JL. TAPA,"Talulobutu Selatan, Tapa","Bone Bolango, Gorontalo",08114301770
1057,UPC BUNTA,CP LUWUK,JL. CUT NYAK DIEN,"Temeang (Tomeang), Nuhon","Banggai, Sulawesi Tengah",082195819019
1058,UPC MOILONG,CP LUWUK,JALAN MOILONG,"Moilong, Toili","Banggai, Sulawesi Tengah",082195819020
1059,UPC BANGGAI,CP LUWUK,JL. MAMPALIASAN NO. 81,"Lompio, Banggai","Banggai Kepulauan, Sulawesi Tengah",082195819018
1060,UPC TOILI,CP LUWUK,DESA TIRTA KENCANA UNIT 11,"Tirta Sari, Toili","Banggai, Sulawesi Tengah",082195819011
1061,UPC MAAHAS,CP LUWUK,JL.RA KARTINI NO.3 KERATON,"Luwuk, Luwuk","Banggai, Sulawesi Tengah",082195819012
1062,UPC BUNGIN,CP LUWUK,JL. IMAM BONJOL NO. 137,"Bungin, Luwuk","Banggai, Sulawesi Tengah",082195819013
1063,UPC BATUI,CP LUWUK,KOMPLEKS PASAR BATUI,"Balantang, Batui","Banggai, Sulawesi Tengah",082195819014
1064,UPC PAGIMANA,CP LUWUK,"JL. P. POLIM, PAGIMANA","Pagimana, Pagimana","Banggai, Sulawesi Tengah",082195819015
1065,UPC SALAKAN,CP LUWUK,DESA BONGGANAN,"Bongganan, Tinangkung","Banggai Kepulauan, Sulawesi Tengah",082195819016
1066,UPC KILONGAN,CP LUWUK,JL. TADULAKO NO. 17,"Kilongan, Luwuk","Banggai, Sulawesi Tengah",082195819017
1067,UPC TANGGIKIKI,CP GORONTALO SENTRAL,JL.JHON ARIO KATILI,"Tapa, Kota Utara","Gorontalo, Gorontalo",085398242650
1068,UPC WONGKADITI,CP GORONTALO SENTRAL,JL.PROF.ALOE SABOE,"Wongkaditi Timur, Kota Utara","Gorontalo, Gorontalo",085398242651
1069,UPC PS SENTRAL GORONTALO,CP GORONTALO SENTRAL,JL.BUDI UTOMO,"Limba U Satu, Kota Selatan","Gorontalo, Gorontalo",085398242652
1070,UPC SUDIRMAN,CP GORONTALO SENTRAL,JL.SUDIRMAN,"Limba U Satu, Kota Selatan","Gorontalo, Gorontalo",085398242653
1071,UPC DUMOGA,CP MOLINOW,JL. TRANS MOPUYA KOMPLEK PASAR,"Mopuya Selatan, Dumoga Utara","Bolaang Mongondow (Bolmong), Sulawesi Utara",085256042636
1072,UPC MOLIBAGU,CP MOLINOW,DESA MOLIBAGU,"Sinandaka, Bolaang Uki","Bolaang Mongondow Selatan, Sulawesi Utara",085256042638
1073,UPC DOLODUO,CP MOLINOW,JL. AMURANG-KOTAMOGABU-DOLODUO,"Kinomaligan, Dumoga Barat","Bolaang Mongondow (Bolmong), Sulawesi Utara",085256042637
1074,UPC IMANDI,CP MOLINOW,JL. POOPO KOMPLEK PASAR,"Tapadaka Utara, Dumoga Utara","Bolaang Mongondow (Bolmong), Sulawesi Utara",085256042635
1075,UPC INOBONTO,CP MOLINOW,JLN AKD NO 27,"Tadoy I, Bolaang Timur","Bolaang Mongondow (Bolmong), Sulawesi Utara",085256042640
1076,UPC LOLAK,CP MOLINOW,JLN PUSKESMAS LOLAK,"Lolak II, Lolak","Bolaang Mongondow (Bolmong), Sulawesi Utara",085256042639
1077,CP PALU BARAT,Wilayah 5 Manado,JL. WR. SUPRATMAN NO.50,"Kamonji, Palu Barat","Palu, Sulawesi Tengah",081356244243
1078,CP POSO,Wilayah 5 Manado,JL. PULAU SUMATRA NO.5,"Gebang Rejo, Poso Kota","Poso, Sulawesi Tengah",082235349200
1079,CP PALU TIMUR,Wilayah 5 Manado,JL. MALUKU NO. 45,"Lolu Utara, Palu Selatan","Palu, Sulawesi Tengah",0451424216
1080,CP TOLITOLI,Wilayah 5 Manado,JL. USMAN BINOL NO. 36,"Baru, Baolan","Toli-Toli, Sulawesi Tengah",082235032500
1081,CP PARIGI,Wilayah 5 Manado,JL TRANS SULAWESI NO.151,"Bantaya, Parigi","Parigi Moutong, Sulawesi Tengah",082197212320
1082,CP TALISE,Wilayah 5 Manado,JL. DR. SAM RATULANGI NO.61,"Besusu Barat, Palu Timur","Palu, Sulawesi Tengah",085394111703
1083,CP PALU SELATAN,Wilayah 5 Manado,JL. DEWI SARTIKA NO.91 PALU,"Birobuli Selatan, Palu Selatan","Palu, Sulawesi Tengah",082290902025
1084,UPC BALAROA,CP PALU BARAT,JL. KUNDURI NO 29,"Balaroa, Palu Barat","Palu, Sulawesi Tengah",081356244245
1085,UPC BAMBARU,CP PALU BARAT,JL. DG. PAWINDU,"Ujuna, Palu Barat","Palu, Sulawesi Tengah",081356244247
1086,UPC PENGAWU,CP PALU BARAT,JL. POE BONGO,"Pengawu, Palu Selatan","Palu, Sulawesi Tengah",081356244248
1087,UPC DONGGALA,CP PALU BARAT,JL. PELABUHAN NO.97 DONGGALA,"Mekar Baru, Banawa Tengah","Donggala, Sulawesi Tengah",081356244231
1088,UPC SUNGAI LARIANG,CP PALU BARAT,JL.SUNGAI LARIANG,"Ujuna, Palu Barat","Palu, Sulawesi Tengah",081356244250
1089,UPC AMPANA,CP POSO,JL. MOH. HATTA NO 10,"Uentanaga Bawah, Ampana Kota","Tojo Una-Una, Sulawesi Tengah",082235349207
1090,UPC MAPANE,CP POSO,JL.TRANS SULAWESI,"Mapane, Poso Pesisir","Poso, Sulawesi Tengah",082235349201
1091,UPC TENTENA,CP POSO,JL.TORULEMBA NO.147,"Pamona, Pamona Utara","Poso, Sulawesi Tengah",082235349202
1092,UPC PENDOLO,CP POSO,JL.TRANS SULAWESI NO.101,"Tindoli, Pamona Tenggara","Poso, Sulawesi Tengah",082235349203
1093,UPC MOROWALI,CP POSO,JL TRANS POROS SULAWESI,"Matansala, Bungku Tengah","Morowali, Sulawesi Tengah",082235349205
1094,UPC KOLONODALE,CP POSO,JL.SULTAN HASANUDDIN NO.78,"Kolonodale, Petasia","Morowali, Sulawesi Tengah",082235349206
1095,UPC SIGMA,CP PALU TIMUR,JL. SIGMA NO.14,"Tanamodindi, Palu Selatan","Palu, Sulawesi Tengah",081145202885
1096,UPC PSR MASOMBA,CP PALU TIMUR,JL. TANJUNG MANIMBAYA NO.67,"Tatura Utara, Palu Selatan","Palu, Sulawesi Tengah",081145202886
1097,UPC THAMRIN,CP PALU TIMUR,JL. MH. THAMRIN NO.5,"Besusu Barat, Palu Timur","Palu, Sulawesi Tengah",081145202887
1098,UPC SENTRAL BUOL,CP TOLITOLI,JL. MT. HARYONO NO. 42,"Leok II, Lipunoto","Buol, Sulawesi Tengah",082235032506
1099,UPC BUOL,CP TOLITOLI,JL. ABDUL KARIM NO. 5,"Leok II, Lipunoto","Buol, Sulawesi Tengah",082235032507
1100,UPC SANDANA,CP TOLITOLI,JL. MOH SALEH NO. 77,"Lantapan, Galang","Toli-Toli, Sulawesi Tengah",082235032501
1101,UPC TAMBUN,CP TOLITOLI,JL. TADULAKO NO. 9 DUSUN II PILADO,"Tambun, Baolan","Toli-Toli, Sulawesi Tengah",082235032502
1102,UPC DAMPAL SELATAN,CP TOLITOLI,JL. TRANS SULAWESI DUSUN TANJUNG II NO.125,"Kombo, Dampal Selatan","Toli-Toli, Sulawesi Tengah",082235032503
1103,UPC PANASAKAN,CP TOLITOLI,JL. SYARIF MANSYUR NO 32,"Panasakan, Baolan","Toli-Toli, Sulawesi Tengah",082235032504
1104,UPC TOLAI,CP PARIGI,JL TRANS SULAWESI DS TOLAI,"Torue, Torue","Parigi Moutong, Sulawesi Tengah",082259742190
1105,UPC AMPIBABO,CP PARIGI,JL TRANS SULAWESI DS AMPIBABO,"Ampibabo, Ampibabo","Parigi Moutong, Sulawesi Tengah",082190585353
1106,UPC KASIMBAR,CP PARIGI,JL TRANS SULAWESI DSN SENDANA,"Kasimbar, Kasimbar","Parigi Moutong, Sulawesi Tengah",082291856925
1107,UPC KOTARAYA,CP PARIGI,JLN. K.H. DEWANTARA NO.2,"Tomini, Tomini","Parigi Moutong, Sulawesi Tengah",082197212714
1108,UPC TAWAELI,CP TALISE,JL. TRANS SULAWESI NO. 17,"Baiya, Palu Utara","Palu, Sulawesi Tengah",085394111701
1109,UPC TONDO,CP TALISE,JL. TRANS SULAWESI,"Tondo, Palu Timur","Palu, Sulawesi Tengah",085394111702
1110,UPC TANJUNG PADANG,CP TALISE,JL. NIAGA NO. 42,"Tanjung Padang, Sirenja","Donggala, Sulawesi Tengah",085394111705
1111,UPC PASAR WANI,CP TALISE,JL. PEMBAURAN NO. 28,"Wani II, Tanantovea","Donggala, Sulawesi Tengah",085394111706
1112,UPC TANAMODINDI,CP PALU SELATAN,JL.VETERAN NO 100,"Tanamodindi, Palu Selatan","Palu, Sulawesi Tengah",08114301995
1113,UPC TOWUA,CP PALU SELATAN,JL.TOWUA,"Birobuli Utara, Palu Selatan","Palu, Sulawesi Tengah",08114301997
1114,UPC DEWI SARTIKA,CP PALU SELATAN,JL.BASUKI RAHMAT NO 51,"Birobuli Utara, Palu Selatan","Palu, Sulawesi Tengah",08114301998
1115,UPC BIROMARU,CP PALU SELATAN,JL.LASOSO NO 2,"Mpanau, Sigi Biromaru","Sigi, Sulawesi Tengah",08114302003
1116,CP NABIRE,Wilayah 5 Manado,JL. TRIKORA NO.8 KOTA LAMA,"Morgo, Nabire","Nabire, Papua",08114302096
1117,CP BOSWESEN,Wilayah 5 Manado,JL.SAM RATULANGI,"Kampung Baru, Sorong","Sorong, Papua Barat",08114302105
1118,CP SORONG,Wilayah 5 Manado,JL SELAT SERAM NO.4,"Remu Selatan, Sorong Timur","Sorong, Papua Barat",08114301863
1119,CP MANOKWARI,Wilayah 5 Manado,JLN. JEND SUDIRMAN NO.35,"Padarni, Manokwari Barat","Manokwari, Papua Barat",081346723651
1120,CP FAK FAK,Wilayah 5 Manado,JL. DR SALASSA NAMUDAT NO.10,"Fak Fak Selatan, Fakfak","Fakfak, Papua Barat",082199923173
1121,CP TIMIKA,Wilayah 5 Manado,JL HASANUDIN,"Inaoga (Inauga), Mimika Baru","Mimika, Papua",08114302064
1122,UPC BINTUNI,CP SORONG,JL. RAYA TAHITI,"Bintuni Timur, Bintuni","Teluk Bintuni, Papua Barat",08114301872
1123,UPC MALANU,CP SORONG,JL. F.KALASUAT,"Remu Selatan, Sorong Timur","Sorong, Papua Barat",08114301864
1124,UPC KLASAMAN,CP SORONG,JL. BASUKI RAHMAT KM10,"Klasaman, Sorong Timur","Sorong, Papua Barat",08114301865
1125,UPC AIMAS,CP SORONG,JL. NANGKA,"Mariat Pantai, Aimas","Sorong, Papua Barat",08114301866
1126,UPC JUPITER,CP SORONG,JL. MARUNI,"Klasaman, Sorong Timur","Sorong, Papua Barat",08114301867
1127,UPC PASAR SENTRAL,CP SORONG,KOMPLEKS PASAR REMU,"Remu Selatan, Sorong Timur","Sorong, Papua Barat",08114301870
1128,UPC BASUKI RAHMAT,CP SORONG,JL. BASUKI RAHMAT KM 12 DEPAN HOTEL LUXIO,"Klasaman, Sorong Timur","Sorong, Papua Barat",08114301871
1129,UPC SANGGENG,CP MANOKWARI,JLN. YOS SUDARSO NO.87,"Sanggeng, Manokwari Barat","Manokwari, Papua Barat",081346723652
1130,UPC PASARWOSI,CP MANOKWARI,JLN. PASIR KOMPLEK PASAR WOSI,"Wosi, Manokwari Barat","Manokwari, Papua Barat",081346723653
1131,UPC AMBAN,CP MANOKWARI,JLN. GUNUNG SALJU NO.77,"Amban, Manokwari Barat","Manokwari, Papua Barat",081346723656
1132,UPC PRAFI,CP MANOKWARI,JLN. RAJAWALI NO. 24,"Udapi Hilir (Udap Hilir), Prafi","Manokwari, Papua Barat",081346723657
1133,UPC TRANSITO,CP MANOKWARI,JLN. TRIKORA WOSI TRANSITO NO.7,"Wosi, Manokwari Barat","Manokwari, Papua Barat",081346723658
1134,UPC KAIMANA,CP FAK FAK,JL. UTARUM KROOY,"Oray (Krooy), Kaimana","Kaimana, Papua Barat",082198990690
1135,UPC THAMBARUNI,CP FAK FAK,JL. THAMBARUNI KAWASAN,"Fak Fak Selatan, Fakfak","Fakfak, Papua Barat",082199923172
1136,UPC KUALA KENCANA,CP TIMIKA,JL. CENDRAWASIH SP. II,"Timika Jaya, Mimika Baru","Mimika, Papua",08114950588
1137,UPC HASANUDIN,CP TIMIKA,JL YOS SUDARSO DEPAN LPMAK,"Koperapoka, Mimika Baru","Mimika, Papua",082132418446
1138,UPC MIMIKA,CP TIMIKA,JL. YOS SUDARSO SP1 DEPAN MASJID,"Kamoro Jaya, Mimika Baru","Mimika, Papua",08114302065
1139,UPC BUDI UTOMO,CP TIMIKA,JL BUDI UTOMO,"Inaoga (Inauga), Mimika Baru","Mimika, Papua",082333399972
1140,UPC KOPERPOKA,CP TIMIKA,JL AHMAD YANI GORONG-GORONG,"Koperapoka, Mimika Baru","Mimika, Papua",08114302069
1141,UPC KARANG TUMARITIS,CP NABIRE,JALAN JENDERAL SUDIRMAN PASAR KARANG TUMARITIS,"Karang Tumaritis, Nabire","Nabire, Papua",08114302097
1142,UPC SIRIWINI,CP NABIRE,JL. RE. MARTADINATA DEPAN RSUD NABIRE,"Siriwini, Nabire","Nabire, Papua",08114302098
1143,UPC OYEHE,CP NABIRE,JL. DR. SAM RATULANGI NO. 5 KOMPLEK PASAR OYEHE,"Oyehe, Nabire","Nabire, Papua",08114302101
1144,UPC MALAWEI,CP BOSWESEN,JL. JENDRAL SUDIRMAN PASAR BARU,"Malawei, Sorong","Sorong, Papua Barat",08114302106
1145,UPC RUFEI,CP BOSWESEN,"JL. DANAU SENTANI, MANADO TUA","Rufei, Sorong Barat","Sorong, Papua Barat",08114302114
1146,UPC HBM,CP BOSWESEN,JL. PRAMUKA RUKO NO. 6,"Klagete, Sorong Utara","Sorong, Papua Barat",08114302115
1147,UPC TEMINABUAN,CP BOSWESEN,JL. POROS TEMINABUAN AYAMARU WERNAS,"Wermit, Teminabuan","Sorong Selatan, Papua Barat",081344659253
1148,UPC RAJA AMPAT,CP BOSWESEN,JL. FUNDAR SAKELA,"Waisai, Waigeo Selatan","Raja Ampat, Papua Barat",082240873559
1149,CP PANGKEP,Wilayah 6 Makasar,JALAN SULTAN HASANUDIN NO 32,"Tumampua, Pangkajene","Pangkajene Kepulauan, Sulawesi Selatan",08114486727
1150,CP MALIMONGAN BARU,Wilayah 6 Makasar,JALAN PONGTIKU NO 19,"Malimongan Baru, Bontoala","Makassar, Sulawesi Selatan",0411447083
1151,CP MAROS,Wilayah 6 Makasar,JALAN LANTO DG PASEWANG NO 3,"Raya, Turikale","Maros, Sulawesi Selatan",0411371271
1152,CP BARRU,Wilayah 6 Makasar,JALAN ANDI PANGERAN PETTARANI,"Coppo, Barru","Barru, Sulawesi Selatan",042721975
1153,CP DAYA,Wilayah 6 Makasar,KAPASA RAYA NO 4 DAYA,"Daya, Biring Kanaya","Makassar, Sulawesi Selatan",085340772023
1154,CP SUDIANG,Wilayah 6 Makasar,JALAN GOA RIA RUKO NO 15C,"Sudiang Raya, Biring Kanaya","Makassar, Sulawesi Selatan",082394999501
1155,CP ANTANG,Wilayah 6 Makasar,JALAN ANTANG RAYA KOMPLEK RUKO MAHKOTA MAS NO 5-,"Manggala, Manggala","Makassar, Sulawesi Selatan",0411493838
1156,CP PELITA,Wilayah 6 Makasar,JALAN PELITA RAYA BLOK A 24/3,"Buakana, Rappocini","Makassar, Sulawesi Selatan",0411446622
1157,CP PASAR BUTUNG,Wilayah 6 Makasar,JALAN SULAWESI NO 285,"Butung, Wajo","Makassar, Sulawesi Selatan",04113614857
1158,CP TAMALANREA,Wilayah 6 Makasar,JALAN TAMALANREA RAYA BTP BLOK M NO 1,"Tamalanrea, Tamalanrea","Makassar, Sulawesi Selatan",0411583719
1159,CP BONTOALA,Wilayah 6 Makasar,JALAN SUNU NO 15 KOMP UNHAS BARAYA,"Suwangga, Tallo","Makassar, Sulawesi Selatan",0411453619
